unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1.64395E+12,2/4/2022 4:00,AAVE/USD,152.11,152.1974,151.506,151.506,39.441491,5975.622535
1.64395E+12,2/4/2022 5:00,AAVE/USD,151.506,155.8146,151.506,155.0612,69.925702,10842.76326
1.64395E+12,2/4/2022 6:00,AAVE/USD,155.0612,156.5583,155.0612,156.4587,25.166589,3937.531798
1.64396E+12,2/4/2022 7:00,AAVE/USD,156.4587,157.4923,155.9445,156.501,142.473316,22297.21643
1.64396E+12,2/4/2022 8:00,AAVE/USD,156.501,157.8887,156.501,157.8327,35.194073,5554.775566
1.64397E+12,2/4/2022 9:00,AAVE/USD,157.8327,158.8152,157.2417,158.3602,32.543943,5153.665322
1.64397E+12,2/4/2022 10:00,AAVE/USD,158.3602,159.3064,157.305,157.3482,48.284464,7597.473498
1.64397E+12,2/4/2022 11:00,AAVE/USD,157.3482,158.3755,157.2923,157.4846,8.591477,1353.025319
1.64398E+12,2/4/2022 12:00,AAVE/USD,157.4846,159.3929,157.4465,158.8734,16.408489,2606.872436
1.64398E+12,2/4/2022 13:00,AAVE/USD,158.8734,159.7243,154.1522,154.5137,89.000304,13751.76627
1.64398E+12,2/4/2022 14:00,AAVE/USD,154.5137,157.1524,154.4018,156.9005,61.711548,9682.572737
1.64399E+12,2/4/2022 15:00,AAVE/USD,156.9005,163.9,156.9005,160.8786,117.285016,18868.64918
1.64399E+12,2/4/2022 16:00,AAVE/USD,160.8786,164.4454,160.8786,162.706,146.340776,23810.5223
1.64399E+12,2/4/2022 17:00,AAVE/USD,162.706,164.5041,162.3476,163.7872,98.578378,16145.87651
1.644E+12,2/4/2022 18:00,AAVE/USD,163.7872,164.0332,162.0047,162.9241,42.130235,6864.03062
1.644E+12,2/4/2022 19:00,AAVE/USD,162.9241,163.778,162.5067,163.6875,612.355777,100234.9862
1.644E+12,2/4/2022 20:00,AAVE/USD,163.6875,164.5718,163.0579,163.4578,121.968006,19936.62193
1.64401E+12,2/4/2022 21:00,AAVE/USD,163.4578,163.7642,162.7254,163.5968,24.837503,4063.336011
1.64401E+12,2/4/2022 22:00,AAVE/USD,163.5968,165.1573,162.937,164.3401,162.646256,26729.30198
1.64402E+12,2/4/2022 23:00,AAVE/USD,164.3401,167.0998,164.3401,166.948,44.610264,7447.594354
1.64402E+12,2/5/2022 0:00,AAVE/USD,166.948,169.2777,166.3693,167.731,116.95837,19617.54436
1.64402E+12,2/5/2022 1:00,AAVE/USD,167.731,167.7509,165.7835,166.2651,51.635717,8585.217651
1.64403E+12,2/5/2022 2:00,AAVE/USD,166.2651,167.4522,165.8186,166.9982,603.895103,100849.3952
1.64403E+12,2/5/2022 3:00,AAVE/USD,166.9982,168.289,166.2588,168.0975,92.236807,15504.77666
1.64403E+12,2/5/2022 4:00,AAVE/USD,168.0975,169.861,167.7229,168.9336,77.109186,13026.33238
1.64404E+12,2/5/2022 5:00,AAVE/USD,168.9336,172.4892,168.9336,171.9216,71.003946,12207.112
1.64404E+12,2/5/2022 6:00,AAVE/USD,171.9216,173.5571,171,171.2269,569.551955,97522.61564
1.64404E+12,2/5/2022 7:00,AAVE/USD,171.2269,171.2269,169.5164,169.5166,54.026436,9158.377741
1.64405E+12,2/5/2022 8:00,AAVE/USD,169.5166,172.0167,169.5166,171.0521,29.800329,5097.408856
1.64405E+12,2/5/2022 9:00,AAVE/USD,171.0521,172.1923,170.4134,172.0722,92.166857,15859.35385
1.64406E+12,2/5/2022 10:00,AAVE/USD,172.0722,172.4488,170.821,171.6913,9.01179,1547.24594
1.64406E+12,2/5/2022 11:00,AAVE/USD,171.6913,171.9143,170.6246,171.8783,46.1197,7926.975633
1.64406E+12,2/5/2022 12:00,AAVE/USD,171.8783,171.9398,170.3707,170.719,7.364598,1257.276806
1.64407E+12,2/5/2022 13:00,AAVE/USD,170.719,171.2911,170.5137,170.8809,2.902448,495.9729264
1.64407E+12,2/5/2022 14:00,AAVE/USD,170.8809,172.1432,169.8892,170.821,41.348554,7063.201343
1.64407E+12,2/5/2022 15:00,AAVE/USD,170.821,172.2715,169.418,171.6351,54.062054,9278.946044
1.64408E+12,2/5/2022 16:00,AAVE/USD,171.6351,172.472,167.1192,167.5611,70.118283,11749.09663
1.64408E+12,2/5/2022 17:00,AAVE/USD,167.5611,168.3996,164.6388,168.0819,93.598808,15732.26549
1.64408E+12,2/5/2022 18:00,AAVE/USD,168.0819,168.3994,166.7681,167.2699,14.539716,2432.056841
1.64409E+12,2/5/2022 19:00,AAVE/USD,167.2699,167.4165,165.9145,166.2588,33.666473,5597.347401
1.64409E+12,2/5/2022 20:00,AAVE/USD,166.2588,166.6197,165.1848,166.6197,51.021725,8501.224513
1.64409E+12,2/5/2022 21:00,AAVE/USD,166.6197,166.8459,165.6102,166.5176,31.698165,5278.30236
1.6441E+12,2/5/2022 22:00,AAVE/USD,166.5176,167.9285,166.2661,167.7496,141.17755,23682.47754
1.6441E+12,2/5/2022 23:00,AAVE/USD,167.7496,167.8999,166.2882,166.4825,18.983462,3160.414212
1.64411E+12,2/6/2022 0:00,AAVE/USD,166.4825,169.1694,166.4825,168.9991,28.215108,4768.327858
1.64411E+12,2/6/2022 1:00,AAVE/USD,168.9991,171.1621,168.9991,170.9571,39.3344,6724.494954
1.64411E+12,2/6/2022 2:00,AAVE/USD,170.9571,171.288,169.8914,169.9009,38.634558,6564.046175
1.64412E+12,2/6/2022 3:00,AAVE/USD,169.9009,170.9651,169.8892,169.8893,12.797758,2174.202148
1.64412E+12,2/6/2022 4:00,AAVE/USD,169.8893,170.1186,166.6155,169.112,59.181064,10008.2281
1.64412E+12,2/6/2022 5:00,AAVE/USD,169.112,170.3117,168.5,169.659,26.6904,4528.266574
1.64413E+12,2/6/2022 6:00,AAVE/USD,169.659,169.659,167.8379,167.8379,27.410028,4600.441538
1.64413E+12,2/6/2022 7:00,AAVE/USD,167.8379,170.2283,167.8379,169.8291,16.272384,2763.52433
1.64413E+12,2/6/2022 8:00,AAVE/USD,169.8291,170.5963,169.1682,170.5963,12.272331,2093.614261
1.64414E+12,2/6/2022 9:00,AAVE/USD,170.5963,172.0167,170.5084,171.5187,16.583111,2844.313641
1.64414E+12,2/6/2022 10:00,AAVE/USD,171.5187,172.9949,170.4845,170.4845,410.49569,69983.15246
1.64415E+12,2/6/2022 11:00,AAVE/USD,170.4845,170.8208,169.852,170.2231,26.816753,4564.830828
