unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,
1444276800,8-Oct-15,BTC/USD,0,245,0,243.6,34.7547026,8466.245554,8-Oct-15
1444363200,9-Oct-15,BTC/USD,243.6,249.97,243.6,245.51,61.58706754,15120.24095,9-Oct-15
1444449600,10-Oct-15,BTC/USD,245.51,246.3,244.6,246.3,30.8705493,7603.416293,10-Oct-15
1444536000,11-Oct-15,BTC/USD,246.3,249.5,245.96,248.98,22.74709058,5663.570613,11-Oct-15
1444622400,12-Oct-15,BTC/USD,248.98,248.98,245.75,245.75,71.0477426,17459.98274,12-Oct-15
1444708800,13-Oct-15,BTC/USD,245.75,252.87,245.75,251,154.6865962,38826.33563,13-Oct-15
1444795200,14-Oct-15,BTC/USD,251,256.15,250.7,254.59,184.5520686,46985.11114,14-Oct-15
1444881600,15-Oct-15,BTC/USD,254.59,258.98,253,257.19,410.9619296,105695.2987,15-Oct-15
1444968000,16-Oct-15,BTC/USD,257.19,285,255.9,270,552.1294568,149074.9533,16-Oct-15
1445054400,17-Oct-15,BTC/USD,270,274.98,267.71,269.26,204.251309,54996.70745,17-Oct-15
1445140800,18-Oct-15,BTC/USD,269.26,274.89,264.01,269.99,24.95207175,6736.809851,18-Oct-15
1445227200,19-Oct-15,BTC/USD,269.99,274.77,265,273.87,249.9508531,68454.04015,19-Oct-15
1445313600,20-Oct-15,BTC/USD,273.87,275.99,266.89,272.5,90.66038803,24704.95574,20-Oct-15
1445400000,21-Oct-15,BTC/USD,272.5,272.75,269.5,271.5,392.2220059,106488.2746,21-Oct-15
1445486400,22-Oct-15,BTC/USD,271.5,279.98,271.5,278.25,629.850626,175255.9367,22-Oct-15
1445572800,23-Oct-15,BTC/USD,278.25,283.95,276.89,281.78,748.6893384,210965.6818,23-Oct-15
1445659200,24-Oct-15,BTC/USD,281.78,290,280.97,290,211.4633859,61324.38191,24-Oct-15
1445745600,25-Oct-15,BTC/USD,290,297,284.98,285,139.9573993,39887.85881,25-Oct-15
1445832000,26-Oct-15,BTC/USD,285,296.99,283.99,291.69,480.2797914,140092.8124,26-Oct-15
1445918400,27-Oct-15,BTC/USD,291.69,299,288.53,298.38,650.2408033,194018.8509,27-Oct-15
1446004800,28-Oct-15,BTC/USD,298.38,309,298.38,306.99,1204.537591,369780.9949,28-Oct-15
1446091200,29-Oct-15,BTC/USD,306.99,329.94,261.51,329.93,2181.523149,719749.9324,29-Oct-15
1446177600,30-Oct-15,BTC/USD,329.93,374,317.86,334.89,1571.871234,526403.9575,30-Oct-15
1446264000,31-Oct-15,BTC/USD,334.89,334.89,309.15,315.14,236.8861483,74652.30078,31-Oct-15
1446350400,1-Nov-15,BTC/USD,315.14,330,299.76,328,570.5175863,187129.7683,1-Nov-15
1446436800,2-Nov-15,BTC/USD,328,376.54,327.75,375,3164.775059,1186790.647,2-Nov-15
1446523200,3-Nov-15,BTC/USD,375,441.87,370.23,439,2805.051265,1231417.505,3-Nov-15
1446609600,4-Nov-15,BTC/USD,439,500,365,441.95,2176.613963,961954.5411,4-Nov-15
1446696000,5-Nov-15,BTC/USD,441.95,441.95,355,367.49,1559.646182,573154.3753,5-Nov-15
1446782400,6-Nov-15,BTC/USD,367.49,399.7,354.01,374.97,1183.769872,443878.189,6-Nov-15
1446868800,7-Nov-15,BTC/USD,374.97,391.92,374.97,389.61,684.949025,266862.9896,7-Nov-15
1446955200,8-Nov-15,BTC/USD,389.61,389.61,361.43,369.07,285.5613571,105392.1301,8-Nov-15
1447041600,9-Nov-15,BTC/USD,369.07,386.79,367.63,377,967.5082046,364750.5931,9-Nov-15
1447128000,10-Nov-15,BTC/USD,377,383,236,311,884.7037194,275142.8567,10-Nov-15
1447214400,11-Nov-15,BTC/USD,311,328.55,300,320,1357.482288,434394.3321,11-Nov-15
1447300800,12-Nov-15,BTC/USD,320,344.8,316.01,337.87,865.4241818,292400.8683,12-Nov-15
1447387200,13-Nov-15,BTC/USD,337.87,2200,326.6,340,837.789113,284848.2984,13-Nov-15
1447473600,14-Nov-15,BTC/USD,340,353,333.58,337.69,292.7075461,98844.41125,14-Nov-15
1447560000,15-Nov-15,BTC/USD,337.69,354.99,315,324.06,414.3311672,134268.158,15-Nov-15
1447646400,16-Nov-15,BTC/USD,324.06,340,320.28,337.37,569.3470332,192080.6086,16-Nov-15
1447732800,17-Nov-15,BTC/USD,337.37,340.24,331.35,335.36,883.2204371,296196.8058,17-Nov-15
1447819200,18-Nov-15,BTC/USD,335.36,337.9,330.01,332.8,1859.417774,618814.2351,18-Nov-15
1447905600,19-Nov-15,BTC/USD,332.8,334.1,310,318,616.307322,195985.7284,19-Nov-15
1447992000,20-Nov-15,BTC/USD,318,325,317.09,321,325.7663209,104570.989,20-Nov-15
1448078400,21-Nov-15,BTC/USD,321,328.97,321,326.22,302.1087168,98553.90558,21-Nov-15
1448164800,22-Nov-15,BTC/USD,326.22,328.75,320.99,324.17,201.2409302,65236.27235,22-Nov-15
1448251200,23-Nov-15,BTC/USD,324.17,326.32,305,320.11,1558.29013,498824.2535,23-Nov-15
1448337600,24-Nov-15,BTC/USD,320.11,324,315.21,315.21,371.8902549,117223.5273,24-Nov-15
1448424000,25-Nov-15,BTC/USD,315.21,334.93,315.21,329.98,567.6342106,187307.9368,25-Nov-15
1448510400,26-Nov-15,BTC/USD,329.98,365.37,329.98,350.82,480.4506591,168551.7002,26-Nov-15
1448596800,27-Nov-15,BTC/USD,350.82,369.04,348.79,353.78,1084.180175,383561.2624,27-Nov-15
1448683200,28-Nov-15,BTC/USD,353.78,359.99,352.53,357.01,101.3550311,36184.75966,28-Nov-15
1448769600,29-Nov-15,BTC/USD,357.01,380,354.01,373.87,683.9933845,255724.6067,29-Nov-15
1448856000,30-Nov-15,BTC/USD,373.87,380.99,367.53,377.32,1346.303446,507987.2164,30-Nov-15
