unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1.62022E+12,5/5/2021 12:00,DOGE/USD,0,0.68278,0,0.67281,4665198.121,3138791.948
1.62022E+12,5/5/2021 13:00,DOGE/USD,0.67281,0.68317,0.6596,0.66676,8030607.382,5354487.778
1.62022E+12,5/5/2021 14:00,DOGE/USD,0.66676,0.66774,0.63841,0.65531,11880404.06,7785347.584
1.62023E+12,5/5/2021 15:00,DOGE/USD,0.65531,0.66876,0.57881,0.5871,12122075.64,7116870.61
1.62023E+12,5/5/2021 16:00,DOGE/USD,0.5871,0.6223,0.51669,0.59846,18821132.16,11263694.75
1.62023E+12,5/5/2021 17:00,DOGE/USD,0.59846,0.6443,0.58396,0.64109,4382734.411,2809727.204
1.62024E+12,5/5/2021 18:00,DOGE/USD,0.64109,0.64109,0.609,0.62959,3187444.974,2006783.481
1.62024E+12,5/5/2021 19:00,DOGE/USD,0.62959,0.63406,0.60334,0.60947,2507841.945,1528454.43
1.62024E+12,5/5/2021 20:00,DOGE/USD,0.60947,0.62217,0.57299,0.60502,5450473.398,3297645.415
1.62025E+12,5/5/2021 21:00,DOGE/USD,0.60502,0.64,0.59855,0.62301,3148834.676,1961755.491
1.62025E+12,5/5/2021 22:00,DOGE/USD,0.62301,0.654,0.62,0.65181,2110403.088,1375581.837
1.62026E+12,5/5/2021 23:00,DOGE/USD,0.65181,0.6785,0.64528,0.65575,3519777.11,2308093.84
1.62026E+12,5/6/2021 0:00,DOGE/USD,0.65575,0.665,0.62811,0.64792,3214923.235,2083013.062
1.62026E+12,5/6/2021 1:00,DOGE/USD,0.64792,0.64792,0.62782,0.64292,4194051.824,2696439.799
1.62027E+12,5/6/2021 2:00,DOGE/USD,0.64292,0.65694,0.63712,0.64999,4207937.759,2735117.464
1.62027E+12,5/6/2021 3:00,DOGE/USD,0.64999,0.6525,0.62399,0.63462,2116989.646,1343483.969
1.62027E+12,5/6/2021 4:00,DOGE/USD,0.63462,0.63462,0.6,0.61898,2403380.879,1487644.696
1.62028E+12,5/6/2021 5:00,DOGE/USD,0.61898,0.62845,0.6087,0.61895,1020502.051,631639.7444
1.62028E+12,5/6/2021 6:00,DOGE/USD,0.61895,0.61895,0.58135,0.59011,3731525.222,2202010.349
1.62028E+12,5/6/2021 7:00,DOGE/USD,0.59011,0.625,0.59011,0.61511,959244.057,590040.6119
1.62029E+12,5/6/2021 8:00,DOGE/USD,0.61511,0.62299,0.5994,0.60331,637284.7129,384480.2402
1.62029E+12,5/6/2021 9:00,DOGE/USD,0.60331,0.61043,0.59819,0.59955,670208.1301,401823.2844
1.6203E+12,5/6/2021 10:00,DOGE/USD,0.59955,0.61685,0.59483,0.60329,806999.7763,486854.895
1.6203E+12,5/6/2021 11:00,DOGE/USD,0.60329,0.62146,0.60185,0.6175,990873.9065,611864.6372
1.6203E+12,5/6/2021 12:00,DOGE/USD,0.6175,0.61833,0.60038,0.60448,1070820.656,647289.6698
1.62031E+12,5/6/2021 13:00,DOGE/USD,0.60448,0.6056,0.58395,0.59919,3376365.615,2023084.513
1.62031E+12,5/6/2021 14:00,DOGE/USD,0.59919,0.63229,0.59919,0.61101,1591050.632,972147.8468
1.62031E+12,5/6/2021 15:00,DOGE/USD,0.61101,0.63846,0.59118,0.60141,3171386.227,1907303.391
1.62032E+12,5/6/2021 16:00,DOGE/USD,0.60141,0.6111,0.59,0.6111,1940396.098,1185776.056
1.62032E+12,5/6/2021 17:00,DOGE/USD,0.6111,0.6111,0.57702,0.5821,3274931.937,1906337.881
1.62032E+12,5/6/2021 18:00,DOGE/USD,0.5821,0.59159,0.54101,0.59054,6580635.277,3886128.357
1.62033E+12,5/6/2021 19:00,DOGE/USD,0.59054,0.59113,0.56,0.58868,2843092.748,1673671.839
1.62033E+12,5/6/2021 20:00,DOGE/USD,0.58868,0.61466,0.57833,0.59368,1905538.85,1131280.304
1.62033E+12,5/6/2021 21:00,DOGE/USD,0.59368,0.59651,0.5773,0.57951,1094022.237,633996.8267
1.62034E+12,5/6/2021 22:00,DOGE/USD,0.57951,0.59567,0.57134,0.59131,1717483.889,1015565.398
1.62034E+12,5/6/2021 23:00,DOGE/USD,0.59131,0.59972,0.57954,0.58204,1095057.413,637367.2167
1.62035E+12,5/7/2021 0:00,DOGE/USD,0.58204,0.58878,0.5502,0.5566,5133880.861,2857518.087
1.62035E+12,5/7/2021 1:00,DOGE/USD,0.5566,0.57,0.54182,0.54937,4672701.107,2567041.807
1.62035E+12,5/7/2021 2:00,DOGE/USD,0.54937,0.56212,0.52,0.53225,4677188.76,2489433.718
1.62036E+12,5/7/2021 3:00,DOGE/USD,0.53225,0.6,0.52927,0.57455,3285007.453,1887401.032
