unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1.54E+12,10/16/2018 13:00,LTC/USD,0,55.2,0,54.6,1770.339385,96660.53041
1.54E+12,10/16/2018 14:00,LTC/USD,54.6,54.69,53.84,53.84,1005.899443,54157.62602
1.54E+12,10/16/2018 15:00,LTC/USD,53.84,54,53.59,53.67,599.4283315,32171.31855
1.54E+12,10/16/2018 16:00,LTC/USD,53.67,53.67,52.83,52.88,414.8297165,21936.19541
1.54E+12,10/16/2018 17:00,LTC/USD,52.88,53.01,52.77,52.95,177.7321714,9410.918476
1.54E+12,10/16/2018 18:00,LTC/USD,52.95,53.1,52.94,53.02,269.4963395,14288.69592
1.54E+12,10/16/2018 19:00,LTC/USD,53.02,53.02,52.9,52.9,86.3646461,4568.689779
1.54E+12,10/16/2018 20:00,LTC/USD,52.9,54.62,52.88,53.02,145.3665072,7707.332212
1.54E+12,10/16/2018 21:00,LTC/USD,53.02,53.14,52.8,53.14,251.017362,13339.06262
1.54E+12,10/16/2018 22:00,LTC/USD,53.14,53.14,52.98,53.01,61.54727,3262.620783
1.54E+12,10/16/2018 23:00,LTC/USD,53.01,53.36,53.01,53.25,127.1319647,6769.77712
1.54E+12,10/17/2018 0:00,LTC/USD,53.25,53.26,53,53.19,235.5826716,12530.6423
1.54E+12,10/17/2018 1:00,LTC/USD,53.19,53.23,53.19,53.19,61.17021,3253.64347
1.54E+12,10/17/2018 2:00,LTC/USD,53.19,53.19,53,53,209.8426905,11121.6626
1.54E+12,10/17/2018 3:00,LTC/USD,53,53.02,52.92,52.92,186.17828,9852.554578
1.54E+12,10/17/2018 4:00,LTC/USD,52.92,54.27,52.69,52.73,81.6720048,4306.564813
1.54E+12,10/17/2018 5:00,LTC/USD,52.73,52.9,52.7,52.7,307.7240918,16217.05964
1.54E+12,10/17/2018 6:00,LTC/USD,52.7,54.5,52.7,54.49,18.9092046,1030.362559
1.54E+12,10/17/2018 7:00,LTC/USD,54.49,54.49,52.8,52.82,22.46916,1186.821031
1.54E+12,10/17/2018 8:00,LTC/USD,52.82,52.82,52.7,52.8,17.0830253,901.9837358
1.54E+12,10/17/2018 9:00,LTC/USD,52.8,52.8,52.69,52.69,25.2332,1329.537308
1.54E+12,10/17/2018 10:00,LTC/USD,52.69,52.74,52.6,52.63,25.49921,1342.023422
1.54E+12,10/17/2018 11:00,LTC/USD,52.63,52.63,52.44,52.53,19.34235,1016.053646
1.54E+12,10/17/2018 12:00,LTC/USD,52.53,52.58,52.43,52.56,294.6297072,15485.73741
1.54E+12,10/17/2018 13:00,LTC/USD,52.56,52.56,52.45,52.46,71.8685252,3770.222832
1.54E+12,10/17/2018 14:00,LTC/USD,52.46,53.01,52.46,53,166.5763378,8828.545903
1.54E+12,10/17/2018 15:00,LTC/USD,53,53.03,52.94,52.99,332.0056337,17592.97853
1.54E+12,10/17/2018 16:00,LTC/USD,52.99,53.01,52.87,52.87,36.3381039,1921.195553
1.54E+12,10/17/2018 17:00,LTC/USD,52.87,53.03,52.74,52.83,448.5202445,23695.32452
1.54E+12,10/17/2018 18:00,LTC/USD,52.83,53,52.75,52.79,1165.916811,61548.74844
1.54E+12,10/17/2018 19:00,LTC/USD,52.79,52.84,52.75,52.75,257.50236,13583.24949
1.54E+12,10/17/2018 20:00,LTC/USD,52.75,53.07,52.5,52.9,141.73285,7497.667765
1.54E+12,10/17/2018 21:00,LTC/USD,52.9,53.85,52.88,53.76,230.70701,12402.80886
1.54E+12,10/17/2018 22:00,LTC/USD,53.76,53.76,53.09,53.09,6.94213,368.5576817
1.54E+12,10/17/2018 23:00,LTC/USD,53.09,53.89,53,53.26,144.4435572,7693.063856
1.54E+12,10/18/2018 0:00,LTC/USD,53.26,53.29,53.26,53.29,27.8708039,1485.23514
1.54E+12,10/18/2018 1:00,LTC/USD,53.29,53.29,53.22,53.22,52.27659,2782.16012
1.54E+12,10/18/2018 2:00,LTC/USD,53.22,53.24,53,53,306.0727048,16221.85335
1.54E+12,10/18/2018 3:00,LTC/USD,53,53.53,53,53.52,5.05628,270.6121056
1.54E+12,10/18/2018 4:00,LTC/USD,53.52,53.52,53,53.4,39.5410552,2111.492348
1.54E+12,10/18/2018 5:00,LTC/USD,53.4,53.4,52.97,53.33,330.6327574,17632.64495
1.54E+12,10/18/2018 6:00,LTC/USD,53.33,53.33,52.9,52.9,11.79322,623.861338
1.54E+12,10/18/2018 7:00,LTC/USD,52.9,53.18,52.9,52.9,13.16504,696.430616
1.54E+12,10/18/2018 8:00,LTC/USD,52.9,53,52.9,53,49.76275,2637.42575
1.54E+12,10/18/2018 9:00,LTC/USD,53,53,52.78,52.78,19.4069235,1024.297422
1.54E+12,10/18/2018 10:00,LTC/USD,52.78,52.98,52.55,52.92,16.1694067,855.6850026
1.54E+12,10/18/2018 11:00,LTC/USD,52.92,52.92,52.73,52.73,14.23653,750.6922269
1.54E+12,10/18/2018 12:00,LTC/USD,52.73,52.73,52.45,52.6,162.92466,8569.837116
1.54E+12,10/18/2018 13:00,LTC/USD,52.6,52.6,52.3,52.59,607.5707607,31952.14631
1.54E+12,10/18/2018 14:00,LTC/USD,52.59,53.5,52.29,52.6,62.2532762,3274.522328
1.54E+12,10/18/2018 15:00,LTC/USD,52.6,52.6,52.14,52.33,81.2048828,4249.451517
1.54E+12,10/18/2018 16:00,LTC/USD,52.33,52.33,51.85,52,269.8825289,14033.8915
1.54E+12,10/18/2018 17:00,LTC/USD,52,52,51.25,51.69,50.1563258,2592.580481
1.54E+12,10/18/2018 18:00,LTC/USD,51.69,51.79,51.44,51.44,85.0758094,4376.299636
1.54E+12,10/18/2018 19:00,LTC/USD,51.44,51.71,51.44,51.69,19.7031192,1018.454231
1.54E+12,10/18/2018 20:00,LTC/USD,51.69,51.8,51.45,51.45,457.1829573,23522.06315
1.54E+12,10/18/2018 21:00,LTC/USD,51.45,51.69,51.44,51.61,190.9461738,9854.73203
1.54E+12,10/18/2018 22:00,LTC/USD,51.61,51.71,51.5,51.71,503.2427551,26022.68287
1.54E+12,10/18/2018 23:00,LTC/USD,51.71,52.02,51.71,51.98,51.7872578,2691.90166
1.54E+12,10/19/2018 0:00,LTC/USD,51.98,53.87,51.98,52.04,32.1798137,1674.637505
1.54E+12,10/19/2018 1:00,LTC/USD,52.04,52.04,51.92,51.99,18.08512,940.2453888
1.54E+12,10/19/2018 2:00,LTC/USD,51.99,51.99,51.59,51.9,60.4493103,3137.319205
1.54E+12,10/19/2018 3:00,LTC/USD,51.9,51.9,51.88,51.88,2.9177052,151.3705458
1.54E+12,10/19/2018 4:00,LTC/USD,51.88,51.9,51.88,51.9,0.381541,19.8019779
1.54E+12,10/19/2018 5:00,LTC/USD,51.9,51.9,51.83,51.83,89.20676,4623.586371
1.54E+12,10/19/2018 6:00,LTC/USD,51.83,51.87,51.67,51.67,15.6161009,806.8839335
1.54E+12,10/19/2018 7:00,LTC/USD,51.67,51.67,51.46,51.46,7.05829,363.2196034
1.54E+12,10/19/2018 8:00,LTC/USD,51.46,51.67,51.46,51.67,37.6295091,1944.316735
1.54E+12,10/19/2018 9:00,LTC/USD,51.67,52.56,51.67,52.21,232.1232575,12119.15527
1.54E+12,10/19/2018 10:00,LTC/USD,52.21,52.45,52.16,52.19,2.98302,155.6838138
1.54E+12,10/19/2018 11:00,LTC/USD,52.19,52.39,51.97,52.39,48.80537,2556.913334
1.54E+12,10/19/2018 12:00,LTC/USD,52.39,52.49,52.03,52.49,7.574,397.55926
1.54E+12,10/19/2018 13:00,LTC/USD,52.49,52.51,52.4,52.4,202.5651806,10614.41546
1.54E+12,10/19/2018 14:00,LTC/USD,52.4,52.77,52.4,52.54,68.8304182,3616.350172
1.54E+12,10/19/2018 15:00,LTC/USD,52.54,52.66,52.39,52.64,33.2134247,1748.354676
1.54E+12,10/19/2018 16:00,LTC/USD,52.64,53,52.64,52.76,196.31391,10357.52189
1.54E+12,10/19/2018 17:00,LTC/USD,52.76,52.91,52.76,52.8,150.8525802,7965.016235
1.54E+12,10/19/2018 18:00,LTC/USD,52.8,52.97,52.71,52.71,122.9771338,6482.124723
1.54E+12,10/19/2018 19:00,LTC/USD,52.71,52.74,52.5,52.74,245.4062073,12942.72337
1.54E+12,10/19/2018 20:00,LTC/USD,52.74,52.99,52.51,52.99,167.72859,8887.937984
1.54E+12,10/19/2018 21:00,LTC/USD,52.99,52.99,52.72,52.72,194.2669213,10241.75209
1.54E+12,10/19/2018 22:00,LTC/USD,52.72,52.9,52.72,52.78,205.6684127,10855.17882
1.54E+12,10/19/2018 23:00,LTC/USD,52.78,52.78,52.78,52.78,0,0
1.54E+12,10/20/2018 0:00,LTC/USD,52.78,52.78,52.78,52.78,0,0
1.54E+12,10/20/2018 1:00,LTC/USD,52.78,52.78,52.78,52.78,0,0
1.54E+12,10/20/2018 2:00,LTC/USD,52.78,52.78,52.78,52.78,0,0
1.54E+12,10/20/2018 3:00,LTC/USD,52.78,52.78,52.75,52.75,1,52.75
1.54E+12,10/20/2018 4:00,LTC/USD,52.75,52.9,52.49,52.49,1.07009,56.1690241
1.54E+12,10/20/2018 5:00,LTC/USD,52.49,52.56,52.25,52.25,4.14433,216.5412425
1.54E+12,10/20/2018 6:00,LTC/USD,52.25,53.21,52.25,53.21,23.3193138,1240.820687
1.54E+12,10/20/2018 7:00,LTC/USD,53.21,53.21,52.92,52.92,5,264.6
1.54E+12,10/20/2018 8:00,LTC/USD,52.92,52.92,52.54,52.54,10.538,553.66652
1.54E+12,10/20/2018 9:00,LTC/USD,52.54,52.81,52.54,52.78,21.80598,1150.919624
1.54E+12,10/20/2018 10:00,LTC/USD,52.78,52.78,52.74,52.74,9,474.66
1.54E+12,10/20/2018 11:00,LTC/USD,52.74,52.74,52.74,52.74,0,0
1.54E+12,10/20/2018 12:00,LTC/USD,52.74,52.78,52.74,52.78,21.96754,1159.446761
1.54E+12,10/20/2018 13:00,LTC/USD,52.78,52.85,52.78,52.85,41.94796,2216.949686
1.54E+12,10/20/2018 14:00,LTC/USD,52.85,52.95,52.81,52.95,70.0623231,3709.800008
1.54E+12,10/20/2018 15:00,LTC/USD,52.95,52.95,52.6,52.76,40.2118991,2121.579797
1.54E+12,10/20/2018 16:00,LTC/USD,52.76,52.76,52.6,52.67,91.4665152,4817.541356
1.54E+12,10/20/2018 17:00,LTC/USD,52.67,52.71,52.48,52.7,17.2555158,909.3656827
1.54E+12,10/20/2018 18:00,LTC/USD,52.7,52.78,52.7,52.74,200.4620035,10572.36606
1.54E+12,10/20/2018 19:00,LTC/USD,52.74,52.98,52.51,52.98,3.0806,163.210188
1.54E+12,10/20/2018 20:00,LTC/USD,52.98,53.37,52.7,53.34,298.4436226,15918.98283
1.54E+12,10/20/2018 21:00,LTC/USD,53.34,53.34,53.1,53.11,126.2942898,6707.489731
1.54E+12,10/20/2018 22:00,LTC/USD,53.11,53.23,53,53,29.50726,1563.88478
1.54E+12,10/20/2018 23:00,LTC/USD,53,53.24,53,53.24,16.14727,859.6806548
1.54E+12,10/21/2018 0:00,LTC/USD,53.24,53.34,53.17,53.34,24.5907,1311.667938
1.54E+12,10/21/2018 1:00,LTC/USD,53.34,53.65,53.2,53.34,141.5596754,7550.793086
1.54E+12,10/21/2018 2:00,LTC/USD,53.34,53.34,53.1,53.1,40.30358,2140.120098
1.54E+12,10/21/2018 3:00,LTC/USD,53.1,53.28,53,53.24,100.66064,5359.172474
1.54E+12,10/21/2018 4:00,LTC/USD,53.24,53.24,52.95,52.95,24.38,1290.921
1.54E+12,10/21/2018 5:00,LTC/USD,52.95,53.07,52.75,52.78,11.80336,622.9813408
1.54E+12,10/21/2018 6:00,LTC/USD,52.78,52.93,52.59,52.93,11.88893,629.2810649
1.54E+12,10/21/2018 7:00,LTC/USD,52.93,53.01,52.92,52.92,6,317.52
1.54E+12,10/21/2018 8:00,LTC/USD,52.92,52.94,52.92,52.94,0.374,19.79956
1.54E+12,10/21/2018 9:00,LTC/USD,52.94,52.96,52.94,52.96,1,52.96
1.54E+12,10/21/2018 10:00,LTC/USD,52.96,52.96,52.85,52.85,2.7709,146.442065
1.54E+12,10/21/2018 11:00,LTC/USD,52.85,52.85,52.5,52.74,13.20044,696.1912056
1.54E+12,10/21/2018 12:00,LTC/USD,52.74,52.78,52.67,52.67,31.02753,1634.220005
1.54E+12,10/21/2018 13:00,LTC/USD,52.67,52.74,52.67,52.74,5.705,300.8817
