unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1.64395E+12,2/4/2022 4:00,MATIC/USD,1.54967,1.5558,1.54716,1.55154,13021.90065,20203.99974
1.64395E+12,2/4/2022 5:00,MATIC/USD,1.55154,1.5782,1.55019,1.57187,48127.48647,75650.15216
1.64395E+12,2/4/2022 6:00,MATIC/USD,1.57187,1.58498,1.57187,1.58222,11064.78877,17506.93008
1.64396E+12,2/4/2022 7:00,MATIC/USD,1.58222,1.58741,1.57291,1.57573,23472.79487,36986.78705
1.64396E+12,2/4/2022 8:00,MATIC/USD,1.57573,1.58806,1.57573,1.5865,25231.30929,40029.47219
1.64397E+12,2/4/2022 9:00,MATIC/USD,1.5865,1.59106,1.57991,1.58726,4116.179649,6533.44731
1.64397E+12,2/4/2022 10:00,MATIC/USD,1.58726,1.59445,1.57591,1.58201,11228.32648,17763.32478
1.64397E+12,2/4/2022 11:00,MATIC/USD,1.58201,1.58602,1.57828,1.58057,38824.14213,61364.27432
1.64398E+12,2/4/2022 12:00,MATIC/USD,1.58057,1.58799,1.57943,1.58409,7742.467685,12264.76564
1.64398E+12,2/4/2022 13:00,MATIC/USD,1.58409,1.59106,1.54953,1.55383,78343.84711,121733.0199
1.64398E+12,2/4/2022 14:00,MATIC/USD,1.55383,1.58799,1.55308,1.58308,130894.3151,207216.1723
1.64399E+12,2/4/2022 15:00,MATIC/USD,1.58308,1.63699,1.57878,1.61626,276343.8018,446643.433
1.64399E+12,2/4/2022 16:00,MATIC/USD,1.61626,1.66708,1.61342,1.65457,113062.2946,187069.4808
1.64399E+12,2/4/2022 17:00,MATIC/USD,1.65457,1.66341,1.65,1.65309,47775.1544,78976.62999
1.644E+12,2/4/2022 18:00,MATIC/USD,1.65309,1.65592,1.63825,1.64801,54537.6838,89878.64828
1.644E+12,2/4/2022 19:00,MATIC/USD,1.64801,1.67722,1.64033,1.67686,66071.86811,110793.2728
1.644E+12,2/4/2022 20:00,MATIC/USD,1.67686,1.68364,1.66552,1.66698,147732.718,246267.4862
1.64401E+12,2/4/2022 21:00,MATIC/USD,1.66698,1.67814,1.65942,1.67814,72232.67424,121216.5399
1.64401E+12,2/4/2022 22:00,MATIC/USD,1.67814,1.67814,1.65918,1.67041,47640.8259,79579.71199
1.64402E+12,2/4/2022 23:00,MATIC/USD,1.67041,1.69762,1.66824,1.69378,117962.5014,199802.5257
1.64402E+12,2/5/2022 0:00,MATIC/USD,1.69378,1.71525,1.6884,1.69367,72782.24996,123269.1133
1.64402E+12,2/5/2022 1:00,MATIC/USD,1.69367,1.69642,1.67882,1.69021,44860.35333,75823.41781
1.64403E+12,2/5/2022 2:00,MATIC/USD,1.69021,1.71096,1.68662,1.70795,67875.41427,115927.8138
1.64403E+12,2/5/2022 3:00,MATIC/USD,1.70795,1.72239,1.70589,1.71999,29292.17379,50382.246
1.64403E+12,2/5/2022 4:00,MATIC/USD,1.71999,1.74904,1.71892,1.74076,55071.93233,95867.01692
1.64404E+12,2/5/2022 5:00,MATIC/USD,1.74076,1.7548,1.73713,1.75021,26137.287,45745.74108
1.64404E+12,2/5/2022 6:00,MATIC/USD,1.75021,1.75827,1.73815,1.74165,38665.93674,67342.52873
1.64404E+12,2/5/2022 7:00,MATIC/USD,1.74165,1.74165,1.72089,1.72553,58714.57452,101313.7598
1.64405E+12,2/5/2022 8:00,MATIC/USD,1.72553,1.74892,1.72553,1.74424,21230.75528,37031.53259
1.64405E+12,2/5/2022 9:00,MATIC/USD,1.74424,1.75409,1.72968,1.741,37201.78339,64768.30488
1.64406E+12,2/5/2022 10:00,MATIC/USD,1.741,1.74808,1.73311,1.74589,10126.01723,17678.91221
1.64406E+12,2/5/2022 11:00,MATIC/USD,1.74589,1.75544,1.73564,1.7378,10892.494,18928.97608
1.64406E+12,2/5/2022 12:00,MATIC/USD,1.7378,1.74331,1.72865,1.73573,10152.30631,17621.66263
1.64407E+12,2/5/2022 13:00,MATIC/USD,1.73573,1.74673,1.73157,1.74291,12031.11076,20969.14325
1.64407E+12,2/5/2022 14:00,MATIC/USD,1.74291,1.75031,1.73,1.73793,25493.11578,44305.25071
1.64407E+12,2/5/2022 15:00,MATIC/USD,1.73793,1.74848,1.71837,1.74492,54963.71334,95907.28267
1.64408E+12,2/5/2022 16:00,MATIC/USD,1.74492,1.74618,1.69463,1.69912,120937.322,205487.0226
1.64408E+12,2/5/2022 17:00,MATIC/USD,1.69912,1.71406,1.67563,1.71342,39074.26123,66950.62067
