unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1.64614E+12,3/1/2022 14:00,SOL/USD,101.043,102.175,98.068,98.211,2787.918548,273804.2685
1.64615E+12,3/1/2022 15:00,SOL/USD,98.211,99.141,96.782,98.022,3131.62208,306967.8595
1.64615E+12,3/1/2022 16:00,SOL/USD,98.022,98.807,96.21,96.532,1350.862891,130401.4966
1.64615E+12,3/1/2022 17:00,SOL/USD,96.532,98.101,96.489,97.644,1122.971888,109651.467
1.64616E+12,3/1/2022 18:00,SOL/USD,97.644,98.798,96.638,98.594,1137.780567,112178.3372
1.64616E+12,3/1/2022 19:00,SOL/USD,98.594,99.143,97.559,97.949,1295.024332,126846.3383
1.64616E+12,3/1/2022 20:00,SOL/USD,97.949,98.689,97.718,98.689,553.016304,54576.62603
1.64617E+12,3/1/2022 21:00,SOL/USD,98.689,99.395,96.981,97.506,2027.361325,197679.8934
1.64617E+12,3/1/2022 22:00,SOL/USD,97.506,98.32,96.819,98.042,976.803712,95767.78953
1.64618E+12,3/1/2022 23:00,SOL/USD,98.042,98.985,97.819,98.758,2299.957659,227139.2185
1.64618E+12,3/2/2022 0:00,SOL/USD,98.758,99.591,96.959,99.096,371.533791,36817.51255
1.64618E+12,3/2/2022 1:00,SOL/USD,99.096,99.614,97.354,98.657,280.880385,27710.81614
1.64619E+12,3/2/2022 2:00,SOL/USD,98.657,99.392,97.764,99.242,999.208075,99163.40778
1.64619E+12,3/2/2022 3:00,SOL/USD,99.242,105.283,99.032,104.324,1383.697889,144352.8986
1.64619E+12,3/2/2022 4:00,SOL/USD,104.324,105.343,103.857,104.313,1061.197843,110696.7306
1.6462E+12,3/2/2022 5:00,SOL/USD,104.313,104.325,103.271,103.67,676.12539,70093.91918
1.6462E+12,3/2/2022 6:00,SOL/USD,103.67,103.67,101.992,102.17,488.527621,49912.86704
1.6462E+12,3/2/2022 7:00,SOL/USD,102.17,102.96,101.456,102.354,405.657902,41520.7089
1.64621E+12,3/2/2022 8:00,SOL/USD,102.354,104.59,101.275,103.467,861.154685,89101.09179
1.64621E+12,3/2/2022 9:00,SOL/USD,103.467,104.5,103.431,103.972,495.66128,51534.8946
1.64622E+12,3/2/2022 10:00,SOL/USD,103.972,106.359,103.628,105.533,406.397355,42888.33207
1.64622E+12,3/2/2022 11:00,SOL/USD,105.533,105.533,104.071,104.57,153.682278,16070.55581
1.64622E+12,3/2/2022 12:00,SOL/USD,104.57,105.109,102.829,104.122,270.673369,28183.05253
1.64623E+12,3/2/2022 13:00,SOL/USD,104.122,104.156,100.266,101.013,774.366319,78221.06498
1.64623E+12,3/2/2022 14:00,SOL/USD,101.013,104.683,101.013,104.531,934.02144,97634.19514
1.64623E+12,3/2/2022 15:00,SOL/USD,104.531,104.878,101.187,101.638,3988.775298,405411.1437
1.64624E+12,3/2/2022 16:00,SOL/USD,101.638,102.412,101.638,101.852,309.60936,31534.33253
1.64624E+12,3/2/2022 17:00,SOL/USD,101.852,103.402,101.5,101.96,1180.2804,120341.3896
1.64624E+12,3/2/2022 18:00,SOL/USD,101.96,102.288,100.464,100.906,701.902468,70826.17044
1.64625E+12,3/2/2022 19:00,SOL/USD,100.906,101.418,100,100.983,648.139154,65451.03619
1.64625E+12,3/2/2022 20:00,SOL/USD,100.983,101.303,100.301,100.301,428.455476,42974.5127
1.64625E+12,3/2/2022 21:00,SOL/USD,100.301,101.219,99.964,101.194,311.680628,31540.20947
1.64626E+12,3/2/2022 22:00,SOL/USD,101.194,101.826,100.977,101.014,235.082187,23746.59204
1.64626E+12,3/2/2022 23:00,SOL/USD,101.014,101.639,100.618,100.824,275.069216,27733.57863
1.64627E+12,3/3/2022 0:00,SOL/USD,100.824,101.454,100.148,100.149,2678.465726,268245.664
1.64627E+12,3/3/2022 1:00,SOL/USD,100.149,100.2,98.834,99.379,3374.798568,335384.1069
1.64627E+12,3/3/2022 2:00,SOL/USD,99.379,99.524,98.367,99.351,347.152434,34489.94147
1.64628E+12,3/3/2022 3:00,SOL/USD,99.351,99.351,98,98.401,2662.385166,261981.3627
1.64628E+12,3/3/2022 4:00,SOL/USD,98.401,99.358,98.108,98.124,236.677852,23223.77755
1.64628E+12,3/3/2022 5:00,SOL/USD,98.124,99.222,98.124,99.202,214.765907,21305.20751
1.64629E+12,3/3/2022 6:00,SOL/USD,99.202,100.226,98.111,100.18,226.17148,22657.85887
1.64629E+12,3/3/2022 7:00,SOL/USD,100.18,100.462,99.923,99.923,175.062044,17492.72462
